clip_dir,n_sentences,correlation,p_value
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/02,8,0.33737388489831593,0.41378527896944156
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_20/01,8,0.4578645580762859,0.2539413413452635
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_7/02,8,-0.3958773192850676,0.3316356764087182
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_5/03,7,-0.10811249552346709,0.8175332656241182
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_10/04,8,0.04819626927118799,0.909771840305317
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/04,8,-0.04819626927118799,0.909771840305317
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/02,6,0.5246313898711126,0.2852521874184511
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_29/01,7,0.5426488617097118,0.2081851760215384
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_2/03,8,-0.2515015150017844,0.5479426035598269
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_8/02,8,-0.26837252006084666,0.5204409776823383
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_3/03,7,0.0,1.0
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_9/04,6,0.23904572186687875,0.648261294967307
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_5/04,7,0.2909571869813232,0.526695193239918
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_14/03,7,0.47809144373375745,0.2778516481230438
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/02,5,-0.6,0.28475697986529375
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_5/02,9,0.6497862896539309,0.05818346505004455
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_4/04,7,0.7041868508280462,0.07735024795442129
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_1/02,7,0.594618725379069,0.15908999370118462
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_5/04,7,-0.0181848241863327,0.9691335878067215
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_18/03,8,0.03592878785739777,0.932691474909088
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_8/04,8,0.28917761562712796,0.4872612723244323
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_3/04,7,0.16216874328520064,0.7282995630820223
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_30/02,6,-0.6087595874350709,0.19966018946036257
