clip_dir,n_sentences,n_event_sentences,correlation_all,correlation_event_only
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_14/02,7,0,-0.20583232685540792,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_9/03,7,2,0.7484811885651198,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_22/03,6,1,0.11952286093343938,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_9/02,6,2,0.0,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/01,8,0,-0.22893227903814295,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_12/04,6,2,0.7356123579206245,
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_2/04,6,2,0.6087595874350709,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_2/02,7,3,0.10811249552346709,0.0
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_12/02,6,2,0.35856858280031817,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_9/02,5,2,0.5642880936468347,
<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/02,8,1,0.4910286161402364,
<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_4/01,8,1,0.34731161595484505,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/01,8,3,0.47280542884465016,-0.5
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_23/01,6,2,-0.6377481392176932,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_2/01,7,0,0.11013346473215288,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/04,8,0,-0.012049067317796997,
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_11/03,7,4,0.7783117824941563,0.632455532033676
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_3/02,5,1,-0.10259783520851541,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_12/03,7,1,-0.18018749253911182,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_11/03,6,1,0.6,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_31/04,7,0,-0.5323117462054056,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_17/02,8,3,0.6343350474165467,0.5
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_11/02,8,0,0.4819626927118799,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_22/03,8,1,-0.07319250547113999,
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_3/04,8,2,-0.4458154907584889,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_14/02,7,2,0.5045249791095131,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/04,7,1,0.31810450514017585,
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/04,8,0,0.3437200312981655,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/03,7,1,-0.38188130791298674,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_9/03,6,0,-0.7944613465542746,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/03,7,2,-0.35856858280031817,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_24/02,8,2,-0.10012523486435179,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_24/02,7,2,0.18712029714127995,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_1/03,5,2,0.15389675281277312,
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/04,6,1,0.40583972495671394,
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_6/02,7,3,0.18712029714127995,0.5
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_10/01,7,2,0.2000330660496597,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_7/03,8,0,0.5212982933415374,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/04,8,1,0.16060401860990525,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_12/01,7,0,0.2000330660496597,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_22/02,7,3,-0.03742405942825599,0.5
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_12/03,6,1,0.7142857142857143,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_4/02,7,1,-0.3214285714285715,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_5/01,6,1,0.1449427589131121,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_1/03,6,1,-0.11595420713048969,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_3/02,7,2,-0.12613124477737828,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_2/01,7,3,0.702731220902536,1.0
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_17/04,8,0,0.33737388489831593,
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/01,5,2,0.8999999999999998,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_28/04,6,1,-0.8827348295047495,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_8/01,8,2,0.20483414440254896,
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_5/04,9,2,0.1603503997882472,
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_1/01,7,1,0.3335621924974956,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_7/04,7,0,0.9258200997725515,
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_24/03,8,0,0.0727392967453308,
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_9/02,8,2,-0.17078251276599332,
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/04,8,1,0.687440062596331,
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_9/03,7,1,0.23424374030084535,
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/01,6,1,0.23904572186687875,
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_8/04,7,2,-0.4076871241636057,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_7/02,7,2,0.8693182879212228,
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_4/03,6,1,0.12344267996967354,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_18/02,5,1,-0.9746794344808964,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_17/01,7,1,0.5,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_17/04,7,2,0.4728662437434605,
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_4/03,7,0,0.18018749253911182,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_21/03,8,2,-0.626551500525444,
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_4/02,6,0,0.40583972495671394,
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_7/03,7,1,-0.09356014857063998,
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_17/01,7,2,0.4818120558297158,
